participant_id,timestamp_ms,event_type,study_state,condition_index,block_number,condition_block_index,blocks_per_condition,trial_in_block,global_trial_number,technique,size_level,spacing_level,x,y,captured_target_id,goal_target_id,is_goal_selection,wrong_target_clicks,miss_clicks,path_length_px
3,1772942312464,practice_intro,rest,,,,,0,0,,,,,,,-1,,0,0,0
3,1772942447673,practice_block_start,running,PRACTICE,0,1,3,0,0,POINT,L,MED,,,,-1,,0,0,0
3,1772942447673,trial_start,running,PRACTICE,0,1,3,1,0,POINT,L,MED,,,,17,,0,0,0
3,1772942448691,practice_trial_success,running,PRACTICE,0,1,3,1,0,POINT,L,MED,487,39.625,17,17,1,0,0,277.285
3,1772942448691,trial_start,running,PRACTICE,0,1,3,2,0,POINT,L,MED,,,,20,,0,0,0
3,1772942449367,practice_trial_success,running,PRACTICE,0,1,3,2,0,POINT,L,MED,544,281.625,20,20,1,0,0,311.397
3,1772942449367,trial_start,running,PRACTICE,0,1,3,3,0,POINT,L,MED,,,,6,,0,0,0
3,1772942450071,practice_trial_success,running,PRACTICE,0,1,3,3,0,POINT,L,MED,37,79.625,6,6,1,0,0,557.99
3,1772942450071,trial_start,running,PRACTICE,0,1,3,4,0,POINT,L,MED,,,,21,,0,0,0
3,1772942450906,trial_error_click,running,PRACTICE,0,1,3,4,0,POINT,L,MED,746,143.625,-1,21,0,0,1,720.031
3,1772942451241,practice_trial_success,running,PRACTICE,0,1,3,4,0,POINT,L,MED,758,152.625,21,21,1,0,1,770.639
3,1772942451241,trial_start,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,2,,0,0,0
3,1772942452063,practice_trial_success,running,PRACTICE,0,1,3,5,0,POINT,L,MED,146,318.625,2,2,1,0,0,655.281
3,1772942452063,practice_block_end,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,2,,0,0,655.281
3,1772942452063,intro_screen,rest,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,-1,,0,0,655.281
3,1772942462370,block_start,running,0,1,1,3,0,0,AREA,S,MED,,,,-1,,0,0,655.281
3,1772942462370,trial_start,running,0,1,1,3,1,1,AREA,S,MED,,,,4,,0,0,0
3,1772942463418,trial_success,running,0,1,1,3,1,1,AREA,S,MED,740,179.625,4,4,1,0,0,370.064
3,1772942463418,trial_start,running,0,1,1,3,2,2,AREA,S,MED,,,,11,,0,0,0
3,1772942464482,trial_success,running,0,1,1,3,2,2,AREA,S,MED,19,179.625,11,11,1,0,0,845.948
3,1772942464482,trial_start,running,0,1,1,3,3,3,AREA,S,MED,,,,26,,0,0,0
3,1772942465593,trial_success,running,0,1,1,3,3,3,AREA,S,MED,712,115.625,26,26,1,0,0,997.61
3,1772942465593,trial_start,running,0,1,1,3,4,4,AREA,S,MED,,,,15,,0,0,0
3,1772942466271,trial_success,running,0,1,1,3,4,4,AREA,S,MED,251,161.625,15,15,1,0,0,518.993
3,1772942466271,trial_start,running,0,1,1,3,5,5,AREA,S,MED,,,,2,,0,0,0
3,1772942467245,trial_error_click,running,0,1,1,3,5,5,AREA,S,MED,708,442.625,-1,2,0,0,1,1040.073
3,1772942468300,trial_success,running,0,1,1,3,5,5,AREA,S,MED,731,472.625,2,2,1,0,1,2015.104
3,1772942468300,block_end,running,0,1,1,3,5,5,AREA,S,MED,,,,2,,0,1,2015.104
3,1772942468300,rest_screen,rest,0,1,1,3,5,5,AREA,S,MED,,,,-1,,0,1,2015.104
3,1772942470657,block_start,running,0,2,2,3,0,5,AREA,S,MED,,,,-1,,0,1,2015.104
3,1772942470657,trial_start,running,0,2,2,3,1,6,AREA,S,MED,,,,23,,0,0,0
3,1772942471798,trial_success,running,0,2,2,3,1,6,AREA,S,MED,633,166.625,23,23,1,0,0,279.811
3,1772942471798,trial_start,running,0,2,2,3,2,7,AREA,S,MED,,,,4,,0,0,0
3,1772942472709,trial_success,running,0,2,2,3,2,7,AREA,S,MED,490,150.625,4,4,1,0,0,494.171
3,1772942472709,trial_start,running,0,2,2,3,3,8,AREA,S,MED,,,,12,,0,0,0
3,1772942473644,trial_success,running,0,2,2,3,3,8,AREA,S,MED,629,123.625,12,12,1,0,0,221.335
3,1772942473644,trial_start,running,0,2,2,3,4,9,AREA,S,MED,,,,24,,0,0,0
3,1772942474421,trial_success,running,0,2,2,3,4,9,AREA,S,MED,376,91.625,24,24,1,0,0,287.616
3,1772942474421,trial_start,running,0,2,2,3,5,10,AREA,S,MED,,,,2,,0,0,0
3,1772942475168,trial_success,running,0,2,2,3,5,10,AREA,S,MED,710,97.625,2,2,1,0,0,420.946
3,1772942475168,block_end,running,0,2,2,3,5,10,AREA,S,MED,,,,2,,0,0,420.946
3,1772942475168,rest_screen,rest,0,2,2,3,5,10,AREA,S,MED,,,,-1,,0,0,420.946
3,1772942476436,block_start,running,0,3,3,3,0,10,AREA,S,MED,,,,-1,,0,0,420.946
3,1772942476436,trial_start,running,0,3,3,3,1,11,AREA,S,MED,,,,5,,0,0,0
3,1772942477438,trial_success,running,0,3,3,3,1,11,AREA,S,MED,885,342.625,5,5,1,0,0,826.482
3,1772942477438,trial_start,running,0,3,3,3,2,12,AREA,S,MED,,,,27,,0,0,0
3,1772942478363,trial_success,running,0,3,3,3,2,12,AREA,S,MED,879,277.625,27,27,1,0,0,809.537
3,1772942478363,trial_start,running,0,3,3,3,3,13,AREA,S,MED,,,,16,,0,0,0
3,1772942479203,trial_success,running,0,3,3,3,3,13,AREA,S,MED,217,369.625,16,16,1,0,0,906.307
3,1772942479203,trial_start,running,0,3,3,3,4,14,AREA,S,MED,,,,3,,0,0,0
3,1772942480081,trial_success,running,0,3,3,3,4,14,AREA,S,MED,664,359.625,3,3,1,0,0,824.374
3,1772942480081,trial_start,running,0,3,3,3,5,15,AREA,S,MED,,,,12,,0,0,0
3,1772942481030,trial_success,running,0,3,3,3,5,15,AREA,S,MED,927,398.625,12,12,1,0,0,787.378
3,1772942481030,block_end,running,0,3,3,3,5,15,AREA,S,MED,,,,12,,0,0,787.378
3,1772942481030,rest_screen,rest,0,3,3,3,5,15,AREA,S,MED,,,,-1,,0,0,787.378
3,1772942609275,block_start,running,1,4,1,3,0,15,AREA,L,MED,,,,-1,,0,0,787.378
3,1772942609275,trial_start,running,1,4,1,3,1,16,AREA,L,MED,,,,27,,0,0,0
3,1772942610251,trial_success,running,1,4,1,3,1,16,AREA,L,MED,920,317.625,27,27,1,0,0,612.936
3,1772942610251,trial_start,running,1,4,1,3,2,17,AREA,L,MED,,,,13,,0,0,0
3,1772942611026,trial_success,running,1,4,1,3,2,17,AREA,L,MED,492,55.625,13,13,1,0,0,642.28
3,1772942611026,trial_start,running,1,4,1,3,3,18,AREA,L,MED,,,,2,,0,0,0
