participant_id,POINT_S_TIGHT,POINT_S_MED,POINT_S_LOOSE,POINT_M_TIGHT,POINT_M_MED,POINT_M_LOOSE,POINT_L_TIGHT,POINT_L_MED,POINT_L_LOOSE,AREA_S_TIGHT,AREA_S_MED,AREA_S_LOOSE,AREA_M_TIGHT,AREA_M_MED,AREA_M_LOOSE,AREA_L_TIGHT,AREA_L_MED,AREA_L_LOOSE,BUBBLE_S_TIGHT,BUBBLE_S_MED,BUBBLE_S_LOOSE,BUBBLE_M_TIGHT,BUBBLE_M_MED,BUBBLE_M_LOOSE,BUBBLE_L_TIGHT,BUBBLE_L_MED,BUBBLE_L_LOOSE
1,3.8946666666666667,3.6471999999999998,3.3584666666666663,3.2597333333333336,3.808,3.6058000000000003,3.5558,3.2258,3.1200666666666668,3.9825333333333335,3.8893333333333335,4.647666666666667,3.9473333333333334,4.0664,3.7163333333333335,3.478266666666667,3.4221999999999997,3.603,4.359,4.437666666666667,4.402733333333333,4.216266666666667,3.4208,3.7354,3.0238,3.7449333333333334,3.873266666666667
2,5.1648,4.7812,5.5138,4.809799999999999,4.691,4.863333333333333,4.503266666666667,4.583200000000001,4.449933333333333,5.246266666666667,5.306333333333333,6.233866666666667,4.9038666666666675,5.5754,4.9994,4.339733333333333,5.1062666666666665,4.834466666666667,6.753733333333333,6.216399999999999,6.092666666666667,5.803733333333333,5.7416,6.239000000000001,4.485533333333334,5.3564,5.1064
3,5.143,4.052133333333334,4.4374,4.641266666666667,4.728533333333333,4.7984,4.1883333333333335,4.449133333333333,4.398,4.437666666666667,4.276466666666667,4.628533333333333,4.689533333333333,5.0416,4.810866666666667,4.9328666666666665,4.786733333333333,4.971266666666667,4.868799999999999,5.907066666666666,5.792199999999999,5.259799999999999,5.3704,5.3804,4.470133333333334,4.7528,4.9707333333333334
