participant_id,POINT_S_TIGHT,POINT_S_MED,POINT_S_LOOSE,POINT_M_TIGHT,POINT_M_MED,POINT_M_LOOSE,POINT_L_TIGHT,POINT_L_MED,POINT_L_LOOSE,AREA_S_TIGHT,AREA_S_MED,AREA_S_LOOSE,AREA_M_TIGHT,AREA_M_MED,AREA_M_LOOSE,AREA_L_TIGHT,AREA_L_MED,AREA_L_LOOSE,BUBBLE_S_TIGHT,BUBBLE_S_MED,BUBBLE_S_LOOSE,BUBBLE_M_TIGHT,BUBBLE_M_MED,BUBBLE_M_LOOSE,BUBBLE_L_TIGHT,BUBBLE_L_MED,BUBBLE_L_LOOSE
1,1018.7333333333333,1076.2,1138.8666666666666,1027.4,919.8666666666667,967.0,852.3333333333334,848.8666666666667,847.9333333333333,996.8666666666667,1065.4,914.6,897.4,883.5333333333333,956.8,869.4666666666667,853.1333333333333,888.3333333333334,916.9333333333333,890.0666666666667,917.4,845.8666666666667,923.2,843.6666666666666,924.7333333333333,888.4,785.3333333333334
2,805.2,876.8666666666667,761.5333333333333,688.5333333333333,734.9333333333333,718.8,653.6666666666666,571.0666666666667,680.8,841.4666666666667,710.7333333333333,712.2666666666667,767.6666666666666,719.2,715.4666666666667,725.2,650.9333333333333,697.6,614.0666666666667,684.0666666666667,666.7333333333333,627.0666666666667,592.0,603.6,611.5333333333333,590.4666666666667,590.6
3,796.4666666666667,977.2666666666667,915.1333333333333,777.1333333333333,802.1333333333333,723.9333333333333,678.3333333333334,688.0,727.8666666666667,825.3333333333334,1002.3333333333334,819.2666666666667,793.3333333333334,714.7333333333333,743.8,682.9333333333333,655.4666666666667,666.8,888.2,766.8666666666667,758.3333333333334,641.2666666666667,593.6666666666666,644.0666666666667,678.0666666666667,632.5333333333333,566.2666666666667
