participant_id,technique,size_level,spacing_level,time_ms,total_errors,path_length_px,throughput_bps,wrong_target_clicks,miss_clicks,cond
2,BUBBLE,S,MED,684.0666666666667,0.0,475.81986666666666,6.216399999999999,0.0,0.0,BUBBLE_S_MED
2,BUBBLE,S,TIGHT,614.0666666666667,0.0,480.09526666666665,6.753733333333333,0.0,0.0,BUBBLE_S_TIGHT
2,POINT,L,LOOSE,680.8,0.13333333333333333,550.7754666666666,4.449933333333333,0.0,0.13333333333333333,POINT_L_LOOSE
2,POINT,L,MED,571.0666666666667,0.0,327.11313333333334,4.583200000000001,0.0,0.0,POINT_L_MED
2,POINT,L,TIGHT,653.6666666666666,0.06666666666666667,455.72793333333334,4.503266666666667,0.0,0.06666666666666667,POINT_L_TIGHT
2,POINT,M,LOOSE,718.8,0.06666666666666667,506.66813333333334,4.863333333333333,0.0,0.06666666666666667,POINT_M_LOOSE
2,POINT,M,MED,734.9333333333333,0.0,468.90246666666667,4.691,0.0,0.0,POINT_M_MED
2,POINT,M,TIGHT,688.5333333333333,0.06666666666666667,480.7982,4.809799999999999,0.0,0.06666666666666667,POINT_M_TIGHT
2,POINT,S,LOOSE,761.5333333333333,0.06666666666666667,497.8738666666667,5.5138,0.0,0.06666666666666667,POINT_S_LOOSE
2,POINT,S,MED,876.8666666666667,0.06666666666666667,506.35426666666666,4.7812,0.0,0.06666666666666667,POINT_S_MED
2,POINT,S,TIGHT,805.2,0.06666666666666667,571.6378,5.1648,0.0,0.06666666666666667,POINT_S_TIGHT
3,AREA,L,LOOSE,666.8,0.0,646.4394,4.971266666666667,0.0,0.0,AREA_L_LOOSE
3,AREA,L,MED,655.4666666666667,0.0,501.51006666666666,4.786733333333333,0.0,0.0,AREA_L_MED
3,AREA,L,TIGHT,682.9333333333333,0.06666666666666667,637.4671999999999,4.9328666666666665,0.0,0.06666666666666667,AREA_L_TIGHT
3,AREA,M,LOOSE,743.8,0.06666666666666667,691.9395333333334,4.810866666666667,0.0,0.06666666666666667,AREA_M_LOOSE
3,AREA,M,MED,714.7333333333333,0.0,659.3015333333333,5.0416,0.0,0.0,AREA_M_MED
3,AREA,M,TIGHT,793.3333333333334,0.26666666666666666,595.4474666666666,4.689533333333333,0.0,0.26666666666666666,AREA_M_TIGHT
3,AREA,S,LOOSE,819.2666666666667,0.2,606.5916,4.628533333333333,0.06666666666666667,0.13333333333333333,AREA_S_LOOSE
3,AREA,S,MED,1002.3333333333334,0.06666666666666667,707.0450666666667,4.276466666666667,0.0,0.06666666666666667,AREA_S_MED
3,AREA,S,TIGHT,825.3333333333334,0.13333333333333333,509.67766666666665,4.437666666666667,0.0,0.13333333333333333,AREA_S_TIGHT
3,BUBBLE,L,LOOSE,566.2666666666667,0.0,417.5136,4.9707333333333334,0.0,0.0,BUBBLE_L_LOOSE
3,BUBBLE,L,MED,632.5333333333333,0.0,752.8123333333333,4.7528,0.0,0.0,BUBBLE_L_MED
3,BUBBLE,L,TIGHT,678.0666666666667,0.06666666666666667,501.6598666666667,4.470133333333334,0.06666666666666667,0.0,BUBBLE_L_TIGHT
3,BUBBLE,M,LOOSE,644.0666666666667,0.0,639.4832666666666,5.3804,0.0,0.0,BUBBLE_M_LOOSE
3,BUBBLE,M,MED,593.6666666666666,0.0,437.64680000000004,5.3704,0.0,0.0,BUBBLE_M_MED
3,BUBBLE,M,TIGHT,641.2666666666667,0.0,555.2945333333333,5.259799999999999,0.0,0.0,BUBBLE_M_TIGHT
3,BUBBLE,S,LOOSE,758.3333333333334,0.0,814.5078666666667,5.792199999999999,0.0,0.0,BUBBLE_S_LOOSE
3,BUBBLE,S,MED,766.8666666666667,0.0,695.053,5.907066666666666,0.0,0.0,BUBBLE_S_MED
3,BUBBLE,S,TIGHT,888.2,0.0,812.7999333333333,4.868799999999999,0.0,0.0,BUBBLE_S_TIGHT
3,POINT,L,LOOSE,727.8666666666667,0.2,667.3074,4.398,0.0,0.2,POINT_L_LOOSE
3,POINT,L,MED,688.0,0.0,711.3917333333334,4.449133333333333,0.0,0.0,POINT_L_MED
3,POINT,L,TIGHT,678.3333333333334,0.2,494.1341333333333,4.1883333333333335,0.0,0.2,POINT_L_TIGHT
3,POINT,M,LOOSE,723.9333333333333,0.13333333333333333,668.6163333333334,4.7984,0.0,0.13333333333333333,POINT_M_LOOSE
3,POINT,M,MED,802.1333333333333,0.0,793.1191333333334,4.728533333333333,0.0,0.0,POINT_M_MED
3,POINT,M,TIGHT,777.1333333333333,0.2,635.0890666666667,4.641266666666667,0.0,0.2,POINT_M_TIGHT
3,POINT,S,LOOSE,915.1333333333333,0.4,726.0328000000001,4.4374,0.0,0.4,POINT_S_LOOSE
3,POINT,S,MED,977.2666666666667,0.4666666666666667,524.6142,4.052133333333334,0.06666666666666667,0.4,POINT_S_MED
3,POINT,S,TIGHT,796.4666666666667,0.0,686.1952666666667,5.143,0.0,0.0,POINT_S_TIGHT
