participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,1,1,3,AREA,0,0,S,10,MED,18,30,960,500,1,1,4,742.342,179.998,480,250,271.521,20,3.866,1048,0,0,0,370.064,3.688,1772942462370,1772942463418,740,179.625,4
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,1,1,3,AREA,0,0,S,10,MED,18,30,960,500,2,2,11,21.132,181,742.342,179.998,721.211,20,5.212,1064,0,0,0,845.948,4.898,1772942463418,1772942464482,19,179.625,11
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,1,1,3,AREA,0,0,S,10,MED,18,30,960,500,3,3,26,714.298,151.045,21.132,181,693.813,20,5.157,1111,0,0,0,997.61,4.642,1772942464482,1772942465593,712,115.625,26
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,1,1,3,AREA,0,0,S,10,MED,18,30,960,500,4,4,15,268.561,192.068,714.298,151.045,447.621,20,4.547,678,0,0,0,518.993,6.707,1772942465593,1772942466271,251,161.625,15
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,1,1,3,AREA,0,0,S,10,MED,18,30,960,500,5,5,2,717.609,435.203,268.561,192.068,510.646,20,4.73,2029,0,1,1,2015.104,2.331,1772942466271,1772942468300,731,472.625,2
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,2,2,3,AREA,0,0,S,10,MED,18,30,960,500,1,6,23,635.7,168.239,480,250,175.861,20,3.292,1141,0,0,0,279.811,2.885,1772942470657,1772942471798,633,166.625,23
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,2,2,3,AREA,0,0,S,10,MED,18,30,960,500,2,7,4,481.647,148.007,635.7,168.239,155.376,20,3.132,911,0,0,0,494.171,3.438,1772942471798,1772942472709,490,150.625,4
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,2,2,3,AREA,0,0,S,10,MED,18,30,960,500,3,8,12,628.497,126.088,481.647,148.007,148.477,20,3.074,935,0,0,0,221.335,3.288,1772942472709,1772942473644,629,123.625,12
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,2,2,3,AREA,0,0,S,10,MED,18,30,960,500,4,9,24,377.568,88.422,628.497,126.088,253.74,20,3.775,777,0,0,0,287.616,4.858,1772942473644,1772942474421,376,91.625,24
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,2,2,3,AREA,0,0,S,10,MED,18,30,960,500,5,10,2,706.546,105.845,377.568,88.422,329.439,20,4.127,747,0,0,0,420.946,5.525,1772942474421,1772942475168,710,97.625,2
3,3,2026-03-08T03:58:32.461Z,20260307_215832,0,AREA_S_MED,3,3,3,AREA,0,0,S,10,MED,18,30,960,500,1,11,5,878.658,339.296,480,250,408.536,20,4.421,1002,0,0,0,826.482,4.413,1772942476436,1772942477438,885,342.625,5
