participant_id,timestamp_ms,event_type,study_state,condition_index,block_number,condition_block_index,blocks_per_condition,trial_in_block,global_trial_number,technique,size_level,spacing_level,x,y,captured_target_id,goal_target_id,is_goal_selection,wrong_target_clicks,miss_clicks,path_length_px
1,1772829736151,practice_intro,rest,,,,,0,0,,,,,,,-1,,0,0,0
1,1772829740190,practice_block_start,running,PRACTICE,0,1,3,0,0,POINT,L,MED,,,,-1,,0,0,0
1,1772829740190,trial_start,running,PRACTICE,0,1,3,1,0,POINT,L,MED,,,,29,,0,0,0
1,1772829741480,practice_trial_success,running,PRACTICE,0,1,3,1,0,POINT,L,MED,348,155.125,29,29,1,0,0,385.188
1,1772829741481,trial_start,running,PRACTICE,0,1,3,2,0,POINT,L,MED,,,,6,,0,0,0
1,1772829742380,trial_error_click,running,PRACTICE,0,1,3,2,0,POINT,L,MED,41,207.125,-1,6,0,0,1,337.1
1,1772829742758,practice_trial_success,running,PRACTICE,0,1,3,2,0,POINT,L,MED,47,205.125,6,6,1,0,1,343.929
1,1772829742758,trial_start,running,PRACTICE,0,1,3,3,0,POINT,L,MED,,,,9,,0,0,0
1,1772829743958,practice_trial_success,running,PRACTICE,0,1,3,3,0,POINT,L,MED,341,461.125,9,9,1,0,0,567.487
1,1772829743958,trial_start,running,PRACTICE,0,1,3,4,0,POINT,L,MED,,,,19,,0,0,0
1,1772829745187,practice_trial_success,running,PRACTICE,0,1,3,4,0,POINT,L,MED,697,245.125,19,19,1,0,0,655.125
1,1772829745187,trial_start,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,26,,0,0,0
1,1772829746126,practice_trial_success,running,PRACTICE,0,1,3,5,0,POINT,L,MED,176,70.125,26,26,1,0,0,581.184
1,1772829746126,practice_block_end,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,26,,0,0,581.184
1,1772829746127,intro_screen,rest,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,-1,,0,0,581.184
1,1772829747267,block_start,running,0,1,1,3,0,0,BUBBLE,S,MED,,,,-1,,0,0,581.184
1,1772829747267,trial_start,running,0,1,1,3,1,1,BUBBLE,S,MED,,,,5,,0,0,0
1,1772829748392,trial_success,running,0,1,1,3,1,1,BUBBLE,S,MED,442,151.125,5,5,1,0,0,311.428
1,1772829748392,trial_start,running,0,1,1,3,2,2,BUBBLE,S,MED,,,,2,,0,0,0
1,1772829749315,trial_success,running,0,1,1,3,2,2,BUBBLE,S,MED,658,67.125,2,2,1,0,0,248.729
1,1772829749315,trial_start,running,0,1,1,3,3,3,BUBBLE,S,MED,,,,3,,0,0,0
1,1772829750214,trial_success,running,0,1,1,3,3,3,BUBBLE,S,MED,511,237.125,3,3,1,0,0,230.131
1,1772829750214,trial_start,running,0,1,1,3,4,4,BUBBLE,S,MED,,,,7,,0,0,0
1,1772829751151,trial_success,running,0,1,1,3,4,4,BUBBLE,S,MED,842,360.125,7,7,1,0,0,395.9
1,1772829751151,trial_start,running,0,1,1,3,5,5,BUBBLE,S,MED,,,,19,,0,0,0
1,1772829751946,trial_success,running,0,1,1,3,5,5,BUBBLE,S,MED,823,109.125,19,19,1,0,0,285.632
1,1772829751946,block_end,running,0,1,1,3,5,5,BUBBLE,S,MED,,,,19,,0,0,285.632
1,1772829751946,rest_screen,rest,0,1,1,3,5,5,BUBBLE,S,MED,,,,-1,,0,0,285.632
1,1772829752773,block_start,running,0,2,2,3,0,5,BUBBLE,S,MED,,,,-1,,0,0,285.632
1,1772829752773,trial_start,running,0,2,2,3,1,6,BUBBLE,S,MED,,,,23,,0,0,0
1,1772829753837,trial_success,running,0,2,2,3,1,6,BUBBLE,S,MED,177,249.125,23,23,1,0,0,397.74
1,1772829753837,trial_start,running,0,2,2,3,2,7,BUBBLE,S,MED,,,,13,,0,0,0
1,1772829754703,trial_success,running,0,2,2,3,2,7,BUBBLE,S,MED,272,344.125,13,13,1,0,0,206.745
1,1772829754703,trial_start,running,0,2,2,3,3,8,BUBBLE,S,MED,,,,17,,0,0,0
1,1772829755322,trial_success,running,0,2,2,3,3,8,BUBBLE,S,MED,194,339.125,17,17,1,0,0,127.229
1,1772829755322,trial_start,running,0,2,2,3,4,9,BUBBLE,S,MED,,,,2,,0,0,0
1,1772829756123,trial_success,running,0,2,2,3,4,9,BUBBLE,S,MED,393,377.125,2,2,1,0,0,211.761
1,1772829756123,trial_start,running,0,2,2,3,5,10,BUBBLE,S,MED,,,,17,,0,0,0
1,1772829756866,trial_success,running,0,2,2,3,5,10,BUBBLE,S,MED,182,329.125,17,17,1,0,0,235.129
1,1772829756866,block_end,running,0,2,2,3,5,10,BUBBLE,S,MED,,,,17,,0,0,235.129
1,1772829756866,rest_screen,rest,0,2,2,3,5,10,BUBBLE,S,MED,,,,-1,,0,0,235.129
