participant_id,POINT_S_TIGHT,POINT_S_MED,POINT_S_LOOSE,POINT_M_TIGHT,POINT_M_MED,POINT_M_LOOSE,POINT_L_TIGHT,POINT_L_MED,POINT_L_LOOSE,AREA_S_TIGHT,AREA_S_MED,AREA_S_LOOSE,AREA_M_TIGHT,AREA_M_MED,AREA_M_LOOSE,AREA_L_TIGHT,AREA_L_MED,AREA_L_LOOSE,BUBBLE_S_TIGHT,BUBBLE_S_MED,BUBBLE_S_LOOSE,BUBBLE_M_TIGHT,BUBBLE_M_MED,BUBBLE_M_LOOSE,BUBBLE_L_TIGHT,BUBBLE_L_MED,BUBBLE_L_LOOSE
1,0.0,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.4,0.4,0.2,0.0,0.13333333333333333,0.2,0.0,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
