participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,4,1,3,POINT,0,1,S,10,TIGHT,8,30,960,500,3,18,11,199.272,354.447,124.788,68.553,295.437,20,3.979,791,0,0,0,584.896,5.031,1772906706953,1772906707744,190,351.625,11
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,4,1,3,POINT,0,1,S,10,TIGHT,8,30,960,500,4,19,23,747.891,319.783,199.272,354.447,549.713,20,4.832,730,0,0,0,579.577,6.619,1772906707744,1772906708474,748,318.625,23
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,4,1,3,POINT,0,1,S,10,TIGHT,8,30,960,500,5,20,24,281.095,286.152,747.891,319.783,468.006,20,4.609,696,0,0,0,473.247,6.622,1772906708474,1772906709170,287,285.625,24
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,5,2,3,POINT,0,1,S,10,TIGHT,8,30,960,500,1,21,10,395.37,192.232,480,250,102.466,20,2.614,639,0,0,0,195.853,4.091,1772906709686,1772906710325,395,192.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,5,2,3,POINT,0,1,S,10,TIGHT,8,30,960,500,2,22,6,505.312,330.545,395.37,192.232,176.685,20,3.298,935,0,1,1,231.592,3.527,1772906710325,1772906711260,504,332.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,5,2,3,POINT,0,1,S,10,TIGHT,8,30,960,500,3,23,24,343.55,155.656,505.312,330.545,238.229,20,3.691,731,0,0,0,258.089,5.049,1772906711260,1772906711991,342,153.625,24
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,5,2,3,POINT,0,1,S,10,TIGHT,8,30,960,500,4,24,25,825.29,138.584,343.55,155.656,482.042,20,4.65,1083,0,0,0,828.563,4.293,1772906711991,1772906713074,826,142.625,25
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,5,2,3,POINT,0,1,S,10,TIGHT,8,30,960,500,5,25,11,382.292,377.072,825.29,138.584,503.114,20,4.709,745,0,0,0,620.984,6.321,1772906713074,1772906713819,388,377.625,11
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,6,3,3,POINT,0,1,S,10,TIGHT,8,30,960,500,1,26,6,391.59,458.568,480,250,226.532,20,3.624,747,0,0,0,288.012,4.851,1772906714212,1772906714959,391,453.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,6,3,3,POINT,0,1,S,10,TIGHT,8,30,960,500,2,27,10,832.514,469.293,391.59,458.568,441.055,20,4.527,1232,0,0,0,1726.868,3.674,1772906714959,1772906716191,835,469.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,6,3,3,POINT,0,1,S,10,TIGHT,8,30,960,500,3,28,2,308.261,200.25,832.514,469.293,589.259,20,4.929,685,0,0,0,667.794,7.196,1772906716191,1772906716876,300,195.625,2
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,6,3,3,POINT,0,1,S,10,TIGHT,8,30,960,500,4,29,9,33.666,100.863,308.261,200.25,292.027,20,3.964,644,0,0,0,344.307,6.155,1772906716876,1772906717520,31,97.625,9
2,2,2026-03-07T18:04:11.534Z,20260307_130411,1,POINT_S_TIGHT,6,3,3,POINT,0,1,S,10,TIGHT,8,30,960,500,5,30,15,480.924,113.758,33.666,100.863,447.443,20,4.547,824,0,0,0,534.722,5.518,1772906717520,1772906718344,480,113.625,15
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,7,1,3,POINT,0,2,L,22,MED,18,30,960,500,1,31,15,607.803,37.388,480,250,248.067,44,2.731,737,0,0,0,339.125,3.705,1772906718773,1772906719510,618,35.625,15
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,7,1,3,POINT,0,2,L,22,MED,18,30,960,500,2,32,28,605.71,142.669,607.803,37.388,105.302,44,1.763,596,0,0,0,406.422,2.957,1772906719510,1772906720106,604,147.625,28
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,7,1,3,POINT,0,2,L,22,MED,18,30,960,500,3,33,7,742.003,110.006,605.71,142.669,140.152,44,2.065,524,0,0,0,290.465,3.941,1772906720106,1772906720630,754,112.625,7
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,7,1,3,POINT,0,2,L,22,MED,18,30,960,500,4,34,10,75.914,109.548,742.003,110.006,666.089,44,4.012,676,0,0,0,814.748,5.936,1772906720630,1772906721306,91,111.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,7,1,3,POINT,0,2,L,22,MED,18,30,960,500,5,35,12,279.145,292.841,75.914,109.548,273.677,44,2.852,506,0,0,0,286.955,5.636,1772906721306,1772906721812,282,295.625,12
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,8,2,3,POINT,0,2,L,22,MED,18,30,960,500,1,36,0,685.499,127.096,480,250,239.448,44,2.688,617,0,0,0,297.201,4.356,1772906722258,1772906722875,689,124.625,0
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,8,2,3,POINT,0,2,L,22,MED,18,30,960,500,2,37,15,568.085,255.117,685.499,127.096,173.711,44,2.307,474,0,0,0,239.678,4.867,1772906722875,1772906723349,573,244.625,15
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,8,2,3,POINT,0,2,L,22,MED,18,30,960,500,3,38,1,767.219,427.981,568.085,255.117,263.698,44,2.806,609,0,0,0,295.613,4.607,1772906723349,1772906723958,763,429.625,1
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,8,2,3,POINT,0,2,L,22,MED,18,30,960,500,4,39,10,584.186,345.953,767.219,427.981,200.574,44,2.475,515,0,0,0,248.023,4.805,1772906723958,1772906724473,576,354.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,8,2,3,POINT,0,2,L,22,MED,18,30,960,500,5,40,27,744.316,254.094,584.186,345.953,184.607,44,2.377,518,0,0,0,207.99,4.589,1772906724473,1772906724991,736,250.625,27
