participant_id,POINT_S_TIGHT,POINT_S_MED,POINT_S_LOOSE,POINT_M_TIGHT,POINT_M_MED,POINT_M_LOOSE,POINT_L_TIGHT,POINT_L_MED,POINT_L_LOOSE,AREA_S_TIGHT,AREA_S_MED,AREA_S_LOOSE,AREA_M_TIGHT,AREA_M_MED,AREA_M_LOOSE,AREA_L_TIGHT,AREA_L_MED,AREA_L_LOOSE,BUBBLE_S_TIGHT,BUBBLE_S_MED,BUBBLE_S_LOOSE,BUBBLE_M_TIGHT,BUBBLE_M_MED,BUBBLE_M_LOOSE,BUBBLE_L_TIGHT,BUBBLE_L_MED,BUBBLE_L_LOOSE
1,392.9346666666667,349.8638,384.98626666666667,417.1453333333333,410.1107333333333,458.0906666666667,433.05226666666664,345.97606666666667,314.77226666666667,408.4800666666667,448.00626666666665,463.3409333333333,448.23273333333333,481.3384,429.3138,426.31966666666665,393.7076,450.98040000000003,396.8207333333333,341.19620000000003,399.59113333333335,393.10360000000003,372.5636,354.9694666666667,379.79833333333335,425.49926666666664,395.2219333333333
2,571.6378,506.35426666666666,497.8738666666667,480.7982,468.90246666666667,506.66813333333334,455.72793333333334,327.11313333333334,550.7754666666666,538.2905333333333,424.1084666666667,537.1608666666667,605.3687333333332,673.784,515.5116666666667,477.723,458.50826666666666,602.9752000000001,480.09526666666665,475.81986666666666,564.6244666666666,571.3053333333334,369.42833333333334,521.5114,369.4933333333333,543.3509333333334,401.0524
3,686.1952666666667,524.6142,726.0328000000001,635.0890666666667,793.1191333333334,668.6163333333334,494.1341333333333,711.3917333333334,667.3074,509.67766666666665,707.0450666666667,606.5916,595.4474666666666,659.3015333333333,691.9395333333334,637.4671999999999,501.51006666666666,646.4394,812.7999333333333,695.053,814.5078666666667,555.2945333333333,437.64680000000004,639.4832666666666,501.6598666666667,752.8123333333333,417.5136
