participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,1,1,3,BUBBLE,0,0,S,10,MED,18,30,960,500,1,1,5,439.582,143.723,480,250,113.703,20,2.741,1124,0,0,0,311.428,2.439,1772829747267,1772829748391,442,151.125,5
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,1,1,3,BUBBLE,0,0,S,10,MED,18,30,960,500,2,2,2,658.497,66.004,439.582,143.723,232.301,20,3.657,923,0,0,0,248.729,3.962,1772829748392,1772829749315,658,67.125,2
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,1,1,3,BUBBLE,0,0,S,10,MED,18,30,960,500,3,3,3,494.924,253.921,658.497,66.004,249.137,20,3.75,899,0,0,0,230.131,4.172,1772829749315,1772829750214,511,237.125,3
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,1,1,3,BUBBLE,0,0,S,10,MED,18,30,960,500,4,4,7,875.883,372.234,494.924,253.921,398.908,20,4.389,937,0,0,0,395.9,4.684,1772829750214,1772829751151,842,360.125,7
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,1,1,3,BUBBLE,0,0,S,10,MED,18,30,960,500,5,5,19,799.288,121.037,875.883,372.234,262.615,20,3.821,795,0,0,0,285.632,4.806,1772829751151,1772829751946,823,109.125,19
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,2,2,3,BUBBLE,0,0,S,10,MED,18,30,960,500,1,6,23,161.813,249.739,480,250,318.187,20,4.08,1064,0,0,0,397.74,3.834,1772829752773,1772829753837,177,249.125,23
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,2,2,3,BUBBLE,0,0,S,10,MED,18,30,960,500,2,7,13,286.25,377.506,161.813,249.739,178.351,20,3.31,866,0,0,0,206.745,3.822,1772829753837,1772829754703,272,344.125,13
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,2,2,3,BUBBLE,0,0,S,10,MED,18,30,960,500,3,8,17,173.479,332.531,286.25,377.506,121.409,20,2.822,619,0,0,0,127.229,4.559,1772829754703,1772829755322,194,339.125,17
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,2,2,3,BUBBLE,0,0,S,10,MED,18,30,960,500,4,9,2,439.547,383.933,173.479,332.531,270.988,20,3.863,801,0,0,0,211.761,4.823,1772829755322,1772829756123,393,377.125,2
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,2,2,3,BUBBLE,0,0,S,10,MED,18,30,960,500,5,10,17,173.479,332.531,439.547,383.933,270.988,20,3.863,743,0,0,0,235.129,5.199,1772829756123,1772829756866,182,329.125,17
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,3,3,3,BUBBLE,0,0,S,10,MED,18,30,960,500,1,11,4,835.422,318.096,480,250,361.887,20,4.255,958,0,0,0,480.987,4.442,1772829757528,1772829758486,775,325.125,4
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,3,3,3,BUBBLE,0,0,S,10,MED,18,30,960,500,2,12,26,138.346,139.329,835.422,318.096,719.634,20,5.209,1028,0,0,0,674.738,5.067,1772829758486,1772829759514,143,124.125,26
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,3,3,3,BUBBLE,0,0,S,10,MED,18,30,960,500,3,13,18,56.067,39.056,138.346,139.329,129.71,20,2.904,691,0,0,0,118.482,4.203,1772829759514,1772829760205,90,66.125,18
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,3,3,3,BUBBLE,0,0,S,10,MED,18,30,960,500,4,14,0,617.816,377.688,56.067,39.056,655.922,20,5.079,900,0,0,0,656.871,5.643,1772829760205,1772829761105,615,407.125,0
1,1,2026-03-06T20:42:16.147Z,20260306_154216,0,BUBBLE_S_MED,3,3,3,BUBBLE,0,0,S,10,MED,18,30,960,500,5,15,7,34.463,446.36,617.816,377.688,587.381,20,4.925,1003,0,0,0,536.441,4.91,1772829761105,1772829762108,99,434.125,7
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,4,1,3,BUBBLE,0,1,M,16,MED,18,30,960,500,1,16,12,656.128,438.454,480,250,257.946,32,3.18,1050,0,0,0,353.206,3.028,1772829763461,1772829764511,651,436.125,12
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,4,1,3,BUBBLE,0,1,M,16,MED,18,30,960,500,2,17,15,212.125,114.416,656.128,438.454,549.672,32,4.184,997,0,0,0,496.793,4.197,1772829764511,1772829765508,257,151.125,15
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,4,1,3,BUBBLE,0,1,M,16,MED,18,30,960,500,3,18,2,211.842,233.427,212.125,114.416,119.012,32,2.239,684,0,0,0,74.348,3.273,1772829765509,1772829766193,241,216.125,2
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,4,1,3,BUBBLE,0,1,M,16,MED,18,30,960,500,4,19,22,523.33,459.034,211.842,233.427,384.608,32,3.703,854,0,0,0,357.237,4.336,1772829766193,1772829767047,498,436.125,22
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,4,1,3,BUBBLE,0,1,M,16,MED,18,30,960,500,5,20,28,306.861,460.791,523.33,459.034,216.476,32,2.957,1168,1,0,1,223.238,2.532,1772829767047,1772829768215,353,456.125,28
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,5,2,3,BUBBLE,0,1,M,16,MED,18,30,960,500,1,21,21,505.409,257.3,480,250,26.437,32,0.869,935,0,0,0,98.378,0.929,1772829769341,1772829770276,501,257.125,21
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,5,2,3,BUBBLE,0,1,M,16,MED,18,30,960,500,2,22,29,796.873,436.666,505.409,257.3,342.233,32,3.548,901,0,0,0,405.955,3.938,1772829770276,1772829771177,811,452.125,29
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,5,2,3,BUBBLE,0,1,M,16,MED,18,30,960,500,3,23,7,789.178,361.532,796.873,436.666,75.528,32,1.749,667,0,0,0,101.27,2.622,1772829771177,1772829771844,786,361.125,7
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,5,2,3,BUBBLE,0,1,M,16,MED,18,30,960,500,4,24,27,66.118,342.992,789.178,361.532,723.298,32,4.561,959,0,0,0,742.185,4.756,1772829771844,1772829772803,67,343.125,27
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,5,2,3,BUBBLE,0,1,M,16,MED,18,30,960,500,5,25,2,850.859,221.221,66.118,342.992,794.133,32,4.69,1066,0,0,0,794.039,4.4,1772829772803,1772829773869,843,240.125,2
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,6,3,3,BUBBLE,0,1,M,16,MED,18,30,960,500,1,26,5,468.616,379.744,480,250,130.242,32,2.342,900,0,0,0,257.312,2.602,1772829774611,1772829775511,484,389.125,5
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,6,3,3,BUBBLE,0,1,M,16,MED,18,30,960,500,2,27,27,624.951,53.516,468.616,379.744,361.753,32,3.621,885,0,0,0,408.17,4.092,1772829775511,1772829776396,638,41.125,27
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,6,3,3,BUBBLE,0,1,M,16,MED,18,30,960,500,3,28,12,552.473,45.984,624.951,53.516,72.868,32,1.712,847,0,0,0,223.95,2.022,1772829776397,1772829777244,556,50.125,12
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,6,3,3,BUBBLE,0,1,M,16,MED,18,30,960,500,4,29,0,178.222,259.205,552.473,45.984,430.728,32,3.854,863,0,0,0,431.966,4.466,1772829777244,1772829778107,201,246.125,0
1,1,2026-03-06T20:42:16.147Z,20260306_154216,1,BUBBLE_M_MED,6,3,3,BUBBLE,0,1,M,16,MED,18,30,960,500,5,30,6,802.102,74.018,178.222,259.205,650.784,32,4.415,1072,0,0,0,620.407,4.119,1772829778107,1772829779179,795,80.125,6
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,7,1,3,BUBBLE,0,2,L,22,MED,18,30,960,500,1,31,6,876.195,125.521,480,250,415.29,44,3.384,886,0,0,0,504.136,3.819,1772829780137,1772829781023,891,127.125,6
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,7,1,3,BUBBLE,0,2,L,22,MED,18,30,960,500,2,32,21,440.087,364.063,876.195,125.521,497.084,44,3.62,863,0,0,0,502.113,4.195,1772829781023,1772829781886,461,352.125,21
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,7,1,3,BUBBLE,0,2,L,22,MED,18,30,960,500,3,33,17,700.139,187.541,440.087,364.063,314.305,44,3.026,870,0,0,0,292.29,3.478,1772829781886,1772829782756,692,197.125,17
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,7,1,3,BUBBLE,0,2,L,22,MED,18,30,960,500,4,34,27,592.115,49.675,700.139,187.541,175.146,44,2.316,693,0,0,0,135.975,3.342,1772829782756,1772829783449,631,85.125,27
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,7,1,3,BUBBLE,0,2,L,22,MED,18,30,960,500,5,35,18,172.096,428.334,592.115,49.675,565.507,44,3.792,897,0,0,0,613.901,4.227,1772829783449,1772829784346,200,437.125,18
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,8,2,3,BUBBLE,0,2,L,22,MED,18,30,960,500,1,36,17,739.649,377.323,480,250,289.187,44,2.921,1551,0,0,0,303.366,1.883,1772829785534,1772829787085,692,368.125,17
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,8,2,3,BUBBLE,0,2,L,22,MED,18,30,960,500,2,37,3,758.741,266.813,739.649,377.323,112.147,44,1.827,719,0,0,0,227.938,2.541,1772829787085,1772829787804,720,280.125,3
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,8,2,3,BUBBLE,0,2,L,22,MED,18,30,960,500,3,38,26,224.832,426.681,758.741,266.813,557.33,44,3.773,937,0,0,0,531.852,4.026,1772829787804,1772829788741,217,430.125,26
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,8,2,3,BUBBLE,0,2,L,22,MED,18,30,960,500,4,39,17,739.649,377.323,224.832,426.681,517.178,44,3.673,855,0,0,0,560.127,4.296,1772829788741,1772829789596,724,392.125,17
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,8,2,3,BUBBLE,0,2,L,22,MED,18,30,960,500,5,40,28,126.502,39.031,739.649,377.323,700.279,44,4.08,1028,0,0,0,708.596,3.969,1772829789596,1772829790624,139,64.125,28
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,9,3,3,BUBBLE,0,2,L,22,MED,18,30,960,500,1,41,2,387.67,419.818,480,250,193.295,44,2.431,757,0,0,0,183.944,3.211,1772829791375,1772829792132,393,423.125,2
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,9,3,3,BUBBLE,0,2,L,22,MED,18,30,960,500,2,42,23,579.614,66.223,387.67,419.818,402.332,44,3.343,773,0,0,0,394.014,4.324,1772829792132,1772829792905,554,67.125,23
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,9,3,3,BUBBLE,0,2,L,22,MED,18,30,960,500,3,43,16,171.649,260.826,579.614,66.223,452.002,44,3.495,795,0,0,0,444.093,4.396,1772829792905,1772829793700,162,254.125,16
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,9,3,3,BUBBLE,0,2,L,22,MED,18,30,960,500,4,44,23,579.614,66.223,171.649,260.826,452.002,44,3.495,757,0,0,0,464.671,4.617,1772829793700,1772829794457,576,68.125,23
1,1,2026-03-06T20:42:16.147Z,20260306_154216,2,BUBBLE_L_MED,9,3,3,BUBBLE,0,2,L,22,MED,18,30,960,500,5,45,14,147.648,325.328,579.614,66.223,503.716,44,3.638,945,0,0,0,515.473,3.85,1772829794457,1772829795402,176,322.125,14
